schema_version	halfword_hex	form
2	0x257e	c.lhu
2	0x2580	c.lbu
2	0x2582	c.lhu
2	0x2584	c.lbu
2	0x2586	c.lhu
2	0x2588	c.lbu
2	0x258a	c.lhu
2	0x258c	c.lbu
2	0x258e	c.lhu
2	0x2590	c.lbu
2	0x2592	c.lhu
2	0x2594	c.lbu
2	0x2596	c.lhu
2	0x2598	c.lbu
2	0x259a	c.lhu
2	0x259c	c.lbu
2	0x259e	c.lhu
2	0x25a0	c.lbu
2	0x25a2	c.lhu
2	0x25a4	c.lbu
2	0x25a6	c.lhu
2	0x25a8	c.lbu
2	0x25aa	c.lhu
2	0x25ac	c.lbu
2	0x25ae	c.lhu
2	0x25b0	c.lbu
2	0x25b2	c.lhu
2	0x25b4	c.lbu
2	0x25b6	c.lhu
2	0x25b8	c.lbu
2	0x25ba	c.lhu
2	0x25bc	c.lbu
2	0x25be	c.lhu
2	0x25c0	c.lbu
2	0x25c2	c.lhu
2	0x25c4	c.lbu
2	0x25c6	c.lhu
2	0x25c8	c.lbu
2	0x25ca	c.lhu
2	0x25cc	c.lbu
2	0x25ce	c.lhu
2	0x25d0	c.lbu
2	0x25d2	c.lhu
2	0x25d4	c.lbu
2	0x25d6	c.lhu
2	0x25d8	c.lbu
2	0x25da	c.lhu
2	0x25dc	c.lbu
2	0x25de	c.lhu
2	0x25e0	c.lbu
2	0x25e2	c.lhu
2	0x25e4	c.lbu
2	0x25e6	c.lhu
2	0x25e8	c.lbu
2	0x25ea	c.lhu
2	0x25ec	c.lbu
2	0x25ee	c.lhu
2	0x25f0	c.lbu
2	0x25f2	c.lhu
2	0x25f4	c.lbu
2	0x25f6	c.lhu
2	0x25f8	c.lbu
2	0x25fa	c.lhu
2	0x25fc	c.lbu
2	0x25fe	c.lhu
2	0x2600	c.lbu
2	0x2602	c.lhu
2	0x2604	c.lbu
2	0x2606	c.lhu
2	0x2608	c.lbu
2	0x260a	c.lhu
2	0x260c	c.lbu
2	0x260e	c.lhu
2	0x2610	c.lbu
2	0x2612	c.lhu
2	0x2614	c.lbu
2	0x2616	c.lhu
2	0x2618	c.lbu
2	0x261a	c.lhu
2	0x261c	c.lbu
2	0x261e	c.lhu
2	0x2620	c.lbu
2	0x2622	c.lhu
2	0x2624	c.lbu
2	0x2626	c.lhu
2	0x2628	c.lbu
2	0x262a	c.lhu
2	0x262c	c.lbu
2	0x262e	c.lhu
2	0x2630	c.lbu
2	0x2632	c.lhu
2	0x2634	c.lbu
2	0x2636	c.lhu
2	0x2638	c.lbu
2	0x263a	c.lhu
2	0x263c	c.lbu
2	0x263e	c.lhu
2	0x2640	c.lbu
2	0x2642	c.lhu
2	0x2644	c.lbu
2	0x2646	c.lhu
2	0x2648	c.lbu
2	0x264a	c.lhu
2	0x264c	c.lbu
2	0x264e	c.lhu
2	0x2650	c.lbu
2	0x2652	c.lhu
2	0x2654	c.lbu
2	0x2656	c.lhu
2	0x2658	c.lbu
2	0x265a	c.lhu
2	0x265c	c.lbu
2	0x265e	c.lhu
2	0x2660	c.lbu
2	0x2662	c.lhu
2	0x2664	c.lbu
2	0x2666	c.lhu
2	0x2668	c.lbu
2	0x266a	c.lhu
2	0x266c	c.lbu
2	0x266e	c.lhu
2	0x2670	c.lbu
2	0x2672	c.lhu
2	0x2674	c.lbu
2	0x2676	c.lhu
2	0x2678	c.lbu
2	0x267a	c.lhu
2	0x267c	c.lbu
2	0x267e	c.lhu
2	0x2680	c.lbu
2	0x2682	c.lhu
2	0x2684	c.lbu
2	0x2686	c.lhu
2	0x2688	c.lbu
2	0x268a	c.lhu
2	0x268c	c.lbu
2	0x268e	c.lhu
2	0x2690	c.lbu
2	0x2692	c.lhu
2	0x2694	c.lbu
2	0x2696	c.lhu
2	0x2698	c.lbu
2	0x269a	c.lhu
2	0x269c	c.lbu
2	0x269e	c.lhu
2	0x26a0	c.lbu
2	0x26a2	c.lhu
2	0x26a4	c.lbu
2	0x26a6	c.lhu
2	0x26a8	c.lbu
2	0x26aa	c.lhu
2	0x26ac	c.lbu
2	0x26ae	c.lhu
2	0x26b0	c.lbu
2	0x26b2	c.lhu
2	0x26b4	c.lbu
2	0x26b6	c.lhu
2	0x26b8	c.lbu
2	0x26ba	c.lhu
2	0x26bc	c.lbu
2	0x26be	c.lhu
2	0x26c0	c.lbu
2	0x26c2	c.lhu
2	0x26c4	c.lbu
2	0x26c6	c.lhu
2	0x26c8	c.lbu
2	0x26ca	c.lhu
2	0x26cc	c.lbu
2	0x26ce	c.lhu
2	0x26d0	c.lbu
2	0x26d2	c.lhu
2	0x26d4	c.lbu
2	0x26d6	c.lhu
2	0x26d8	c.lbu
2	0x26da	c.lhu
2	0x26dc	c.lbu
2	0x26de	c.lhu
2	0x26e0	c.lbu
2	0x26e2	c.lhu
2	0x26e4	c.lbu
2	0x26e6	c.lhu
2	0x26e8	c.lbu
2	0x26ea	c.lhu
2	0x26ec	c.lbu
2	0x26ee	c.lhu
2	0x26f0	c.lbu
2	0x26f2	c.lhu
2	0x26f4	c.lbu
2	0x26f6	c.lhu
2	0x26f8	c.lbu
2	0x26fa	c.lhu
2	0x26fc	c.lbu
2	0x26fe	c.lhu
2	0x2700	c.lbu
2	0x2702	c.lhu
2	0x2704	c.lbu
2	0x2706	c.lhu
2	0x2708	c.lbu
2	0x270a	c.lhu
2	0x270c	c.lbu
2	0x270e	c.lhu
2	0x2710	c.lbu
2	0x2712	c.lhu
2	0x2714	c.lbu
2	0x2716	c.lhu
2	0x2718	c.lbu
2	0x271a	c.lhu
2	0x271c	c.lbu
2	0x271e	c.lhu
2	0x2720	c.lbu
2	0x2722	c.lhu
2	0x2724	c.lbu
2	0x2726	c.lhu
2	0x2728	c.lbu
2	0x272a	c.lhu
2	0x272c	c.lbu
2	0x272e	c.lhu
2	0x2730	c.lbu
2	0x2732	c.lhu
2	0x2734	c.lbu
2	0x2736	c.lhu
2	0x2738	c.lbu
2	0x273a	c.lhu
2	0x273c	c.lbu
2	0x273e	c.lhu
2	0x2740	c.lbu
2	0x2742	c.lhu
2	0x2744	c.lbu
2	0x2746	c.lhu
2	0x2748	c.lbu
2	0x274a	c.lhu
2	0x274c	c.lbu
2	0x274e	c.lhu
2	0x2750	c.lbu
2	0x2752	c.lhu
2	0x2754	c.lbu
2	0x2756	c.lhu
2	0x2758	c.lbu
2	0x275a	c.lhu
2	0x275c	c.lbu
2	0x275e	c.lhu
2	0x2760	c.lbu
2	0x2762	c.lhu
2	0x2764	c.lbu
2	0x2766	c.lhu
2	0x2768	c.lbu
2	0x276a	c.lhu
2	0x276c	c.lbu
2	0x276e	c.lhu
2	0x2770	c.lbu
2	0x2772	c.lhu
2	0x2774	c.lbu
2	0x2776	c.lhu
2	0x2778	c.lbu
2	0x277a	c.lhu
2	0x277c	c.lbu
2	0x277e	c.lhu
2	0x2780	c.lbu
2	0x2782	c.lhu
2	0x2784	c.lbu
2	0x2786	c.lhu
2	0x2788	c.lbu
2	0x278a	c.lhu
2	0x278c	c.lbu
2	0x278e	c.lhu
2	0x2790	c.lbu
2	0x2792	c.lhu
2	0x2794	c.lbu
2	0x2796	c.lhu
2	0x2798	c.lbu
2	0x279a	c.lhu
2	0x279c	c.lbu
2	0x279e	c.lhu
2	0x27a0	c.lbu
2	0x27a2	c.lhu
2	0x27a4	c.lbu
2	0x27a6	c.lhu
2	0x27a8	c.lbu
2	0x27aa	c.lhu
2	0x27ac	c.lbu
2	0x27ae	c.lhu
2	0x27b0	c.lbu
2	0x27b2	c.lhu
2	0x27b4	c.lbu
2	0x27b6	c.lhu
2	0x27b8	c.lbu
2	0x27ba	c.lhu
2	0x27bc	c.lbu
2	0x27be	c.lhu
2	0x27c0	c.lbu
2	0x27c2	c.lhu
2	0x27c4	c.lbu
2	0x27c6	c.lhu
2	0x27c8	c.lbu
2	0x27ca	c.lhu
2	0x27cc	c.lbu
2	0x27ce	c.lhu
2	0x27d0	c.lbu
2	0x27d2	c.lhu
2	0x27d4	c.lbu
2	0x27d6	c.lhu
2	0x27d8	c.lbu
2	0x27da	c.lhu
2	0x27dc	c.lbu
2	0x27de	c.lhu
2	0x27e0	c.lbu
2	0x27e2	c.lhu
2	0x27e4	c.lbu
2	0x27e6	c.lhu
2	0x27e8	c.lbu
2	0x27ea	c.lhu
2	0x27ec	c.lbu
2	0x27ee	c.lhu
2	0x27f0	c.lbu
2	0x27f2	c.lhu
2	0x27f4	c.lbu
2	0x27f6	c.lhu
2	0x27f8	c.lbu
2	0x27fa	c.lhu
2	0x27fc	c.lbu
2	0x27fe	c.lhu
2	0x2800	c.lbu
2	0x2802	c.lhu
2	0x2804	c.lbu
2	0x2806	c.lhu
2	0x2808	c.lbu
2	0x280a	c.lhu
2	0x280c	c.lbu
2	0x280e	c.lhu
2	0x2810	c.lbu
2	0x2812	c.lhu
2	0x2814	c.lbu
2	0x2816	c.lhu
2	0x2818	c.lbu
2	0x281a	c.lhu
2	0x281c	c.lbu
2	0x281e	c.lhu
2	0x2820	c.lbu
2	0x2822	c.lhu
2	0x2824	c.lbu
