schema_version	evidence_id	path	role	size_bytes	sha256	producer_command_id	required_by
2	ev-0c0b67bf847b36d95829f18efe6830c4dfe21408897aa699a80c30bf824d2b8d	controls/positive/positive-occurrences.tsv	positive-semantic-evidence	3098	0316fdf8e2cfacd82fd43963b75a50817f2e88b525a3827b28b6db18b949ff52	cmd-bd3b8d874961c9df632ddbc20832c1953c0c154efdc5f4489f887cfd43cd9314	findings,WCHNET,IoCHub
2	ev-b490efbfb3202b05ed209cf52a67b8beada9c110b5d435da900213bb87b035ec	controls/positive/positive-summary.json	positive-semantic-evidence	3619	7408fc6f04688d728d69a378e9b950dd31381e77f9338a86c1d5da04e0503ed5	cmd-bd3b8d874961c9df632ddbc20832c1953c0c154efdc5f4489f887cfd43cd9314	findings,WCHNET,IoCHub
2	ev-3bdfe921f6d86d5d4f47731a2211bf16eddad979439af8e00faacde164d003e1	controls/positive/semantic-chain.json	positive-semantic-evidence	1478	32d79e1535b375e1cec19864bf10b0b9ad059ecf6fb150535ccd6f8719eff7af	cmd-bd3b8d874961c9df632ddbc20832c1953c0c154efdc5f4489f887cfd43cd9314	findings,WCHNET,IoCHub
2	ev-b1739f51884e7dd161e630bb537fb2844cfbceabf2d68b2296ea275b3de46cc6	controls/rom/rom-code-parcels.tsv	rom-control	9250836	5f18b138fafd848aa48c63601d223414a69122fce8f357fdacbe38672aa45872	cmd-4ce3cb1e72b5638a6d752dd46193eb971770ba043fb70c03baab1206b686c25b	ROM,mcpy,framing
2	ev-7011196ef133b94117b531f4227d4b5f6b43836197a0ff808b4f19f109a77717	controls/rom/rom-control-summary.json	rom-control	20119	5ce5e0431baa4b7a923dae4dbe982c56eee0f4bae416ca5341ba2ead1f877b8c	cmd-4ce3cb1e72b5638a6d752dd46193eb971770ba043fb70c03baab1206b686c25b	ROM,mcpy,framing
2	ev-d9cbdf9aea8647a04e646c493ad22a40ed3bd2838a430633c6e1b508efc7b8bd	controls/rom/rom-fingerprints.tsv	rom-control	2362	68904172d1cc8881da7d41557b0446c4fdc019fe3cbfaf8717bc77177d7e31bd	cmd-4ce3cb1e72b5638a6d752dd46193eb971770ba043fb70c03baab1206b686c25b	ROM,mcpy,framing
2	ev-4f81fa3399b76aa876b33c729c2305e8142cfa30eb394aed80906db17b9ba3f2	controls/rom/rom-header-ledger.tsv	rom-control	719	e167d2110ec9eeedfc7d8ce5726bdd7c63edcfaf94c54884f7d9077cdf03c6ac	cmd-4ce3cb1e72b5638a6d752dd46193eb971770ba043fb70c03baab1206b686c25b	ROM,mcpy,framing
2	ev-ca58c808601ccb75eef2aec25b23750b2f5ca852351d279123b257dd30e04acb	controls/rom/rom-jt-seeds.tsv	rom-control	88480	5a3106a1d72e5038f3e7958f70a2c00a17669172afb5cffca786d97d7b7afc7a	cmd-4ce3cb1e72b5638a6d752dd46193eb971770ba043fb70c03baab1206b686c25b	ROM,mcpy,framing
2	ev-a8f39349845c6e6639cd56a468ee344603820e1a80f7c3fab8d45bdbd7fdb68e	controls/rom/rom-length-prefix-candidates.tsv	rom-control	370071	98e09ca6680a574bb96f9a9d254e87bf3bf170a6229074df5ee002fa26b0498d	cmd-4ce3cb1e72b5638a6d752dd46193eb971770ba043fb70c03baab1206b686c25b	ROM,mcpy,framing
2	ev-85e5df7fe546da574f35e51df86b525492b172862a566304a1b8934bf6ce3e35	controls/tar/package-extracted-byte-closure.tsv	package-closure	4395417	44889166dbed75a4d4d18ed08d9c2f1e04e354abbe04f6378e11cadeb924be99	cmd-6a4b3acd1d6f0a3f188660c6fd4a7697c6ade6d129fce835dcecf7f09f90cf82	package,scope
2	ev-0241c4db7b5ad7333bdefa3fc03b9019815740c341957c18a6c1cbce924c347d	controls/tar/package-extracted-closure-summary.json	package-closure	628	f4016adb680e1fa56c606245b30a5aaa15b2f958dc2dee82afa0832a1a145122	cmd-6a4b3acd1d6f0a3f188660c6fd4a7697c6ade6d129fce835dcecf7f09f90cf82	package,scope
2	ev-9dfc4479254643a25e318914c3de8910c8e831695592d36be4d637659a8bcf5c	controls/xw/fixtures/gcc12-mcpy.S	xw-control	45	3e7de62f8e8b4538ebe0ddcbd14fda338ffd52eb4975b9b0c95a02b316ca0876	cmd-36a5444f62be01e746166f65ac6203eff2ce0e5a401f0902797d8526b9c29dfd	xw,semantic-boundaries
2	ev-866892685851beaad33910fd99f97eb7b73f7626fa259c28b96115794ea85626	controls/xw/fixtures/gcc12-mcpy.bin	xw-control	4	54abf3a2f6c67e164ef2e1cc37f10a11394edbcf92ae524f396f13077b980261	cmd-36a5444f62be01e746166f65ac6203eff2ce0e5a401f0902797d8526b9c29dfd	xw,semantic-boundaries
2	ev-14bc91f7c3412eff30ce59428579424d173a26ecc1f2cf75caf2cb9e356a3d6e	controls/xw/fixtures/gcc12-mcpy.o	xw-control	620	fd0057bd45dbac7fca92f4cbf1784c9f8de941248b98d7d2dcebbe618a29610f	cmd-36a5444f62be01e746166f65ac6203eff2ce0e5a401f0902797d8526b9c29dfd	xw,semantic-boundaries
2	ev-65e9e433d4a39ceadfd489aa64a11e536a1ed8aa69883a3da82a245ffd440415	controls/xw/fixtures/gcc8-mcpy-rejected.S	xw-control	45	3e7de62f8e8b4538ebe0ddcbd14fda338ffd52eb4975b9b0c95a02b316ca0876	cmd-36a5444f62be01e746166f65ac6203eff2ce0e5a401f0902797d8526b9c29dfd	xw,semantic-boundaries
2	ev-07a520c3a981a3242385ec27735c8a1aeea9214d9e3d7112cf12d20d2e55f482	controls/xw/xw-boundary-build-groups.tsv	xw-control	61433	005e135272343b5caaf57701961948b600e99ce8e61325575064006e7aba63f6	cmd-01793964eaf11e967f8652879ddbedb0ce6af500eb9ddc4e2c30f811f3a9b2d3	xw,semantic-boundaries
2	ev-e2f73605b308120bf14ef7cbcb0245bf23bb861167e78777357c6d59564140ec	controls/xw/xw-boundary-lines.tsv	xw-control	3937552	a30aff4d2d6eb37b9f3dc70b0c49b5d3436233d49fe5edd4624c7f382165b1b3	cmd-01793964eaf11e967f8652879ddbedb0ce6af500eb9ddc4e2c30f811f3a9b2d3	xw,semantic-boundaries
2	ev-dbff1b983457345517d1834d30d9117566dabc0b6cd4866f1657008f692528ff	controls/xw/xw-boundary-summary.json	xw-control	1561	ea8d4b9d3538177fa816a731b25e6fe73f25d322f7d153e8082eb3666121f592	cmd-01793964eaf11e967f8652879ddbedb0ce6af500eb9ddc4e2c30f811f3a9b2d3	xw,semantic-boundaries
2	ev-687984dec6e32880289da5e645319f49122982d8fd2f155e93c2efc09cc0c539	controls/xw/xw-fixture-summary.json	xw-control	585906	40d83fc5904f21a8fe52169d551742a1b8e2c77d811bdc5e9c2b1233031acff3	cmd-36a5444f62be01e746166f65ac6203eff2ce0e5a401f0902797d8526b9c29dfd	xw,semantic-boundaries
2	ev-b5045b61d8fd8279efd1f1a2f4309d327d8ed26ad8072d5b4850902de72a4d4c	controls/xw/xw-physical-diagnostics.tsv	xw-control	150718	95ae5a0e0b7664932471a754323371240624662d720cd355b00317cd57c92fed	cmd-01793964eaf11e967f8652879ddbedb0ce6af500eb9ddc4e2c30f811f3a9b2d3	xw,semantic-boundaries
